2026-05-25T17:15:38.249	k
2026-05-25T17:15:38.376	h
2026-05-25T17:15:38.521	o
2026-05-25T17:15:38.660	o
2026-05-25T17:15:38.661	<backspace>
2026-05-25T17:15:38.661	ô
2026-05-25T17:15:38.873	n
2026-05-25T17:15:38.929	g
2026-05-25T17:15:39.056	<space>
2026-05-25T17:15:39.161	t
2026-05-25T17:15:39.264	h
2026-05-25T17:15:39.417	e
2026-05-25T17:15:39.587	e
2026-05-25T17:15:39.588	<backspace>
2026-05-25T17:15:39.588	ê
2026-05-25T17:15:39.763	r
2026-05-25T17:15:39.763	<backspace>
2026-05-25T17:15:39.764	ể
2026-05-25T17:15:39.872	<space>
2026-05-25T17:15:40.057	m
2026-05-25T17:15:40.313	o
2026-05-25T17:15:40.404	w
2026-05-25T17:15:40.404	<backspace>
2026-05-25T17:15:40.405	ơ
2026-05-25T17:15:40.438	r
2026-05-25T17:15:40.438	<backspace>
2026-05-25T17:15:40.439	ở
2026-05-25T17:15:40.560	<space>
2026-05-25T17:15:40.649	d
2026-05-25T17:15:40.803	d
2026-05-25T17:15:40.804	<backspace>
2026-05-25T17:15:40.804	đ
2026-05-25T17:15:40.929	u
2026-05-25T17:15:40.988	w
2026-05-25T17:15:40.988	<backspace>
2026-05-25T17:15:40.989	ư
2026-05-25T17:15:41.153	o
2026-05-25T17:15:41.230	c
2026-05-25T17:15:41.230	<backspace>
2026-05-25T17:15:41.231	ơ
2026-05-25T17:15:41.231	c
2026-05-25T17:15:41.376	j
2026-05-25T17:15:41.377	<backspace>
2026-05-25T17:15:41.377	<backspace>
2026-05-25T17:15:41.378	ợ
2026-05-25T17:15:41.378	c
2026-05-25T17:15:41.448	<space>
2026-05-25T17:15:41.801	u
2026-05-25T17:15:41.985	i
2026-05-25T17:15:42.072	<space>
2026-05-25T17:15:42.217	l
2026-05-25T17:15:42.297	a
2026-05-25T17:15:42.356	f
2026-05-25T17:15:42.357	<backspace>
2026-05-25T17:15:42.357	à
2026-05-25T17:15:42.472	<space>
2026-05-25T17:15:42.600	s
2026-05-25T17:15:42.672	a
2026-05-25T17:15:42.784	o
2026-05-25T17:15:42.984	<space>
2026-05-25T17:15:43.280	n
2026-05-25T17:15:43.472	h
2026-05-25T17:15:43.672	i
2026-05-25T17:15:43.738	r
2026-05-25T17:15:43.739	<backspace>
2026-05-25T17:15:43.739	ỉ
2026-05-25T17:15:43.944	<space>
2026-05-25T17:15:44.873	h
2026-05-25T17:15:44.928	a
2026-05-25T17:15:45.040	y
2026-05-25T17:15:45.152	<space>
2026-05-25T17:15:45.400	l
2026-05-25T17:15:45.544	a
2026-05-25T17:15:45.603	f
2026-05-25T17:15:45.603	<backspace>
2026-05-25T17:15:45.603	à
2026-05-25T17:15:45.736	<space>
2026-05-25T17:15:45.985	t
2026-05-25T17:15:46.122	w
2026-05-25T17:15:46.122	ư
2026-05-25T17:15:46.361	a
2026-05-25T17:15:49.353	<space>
2026-05-25T17:15:49.625	t
2026-05-25T17:15:49.697	a
2026-05-25T17:15:49.732	w
2026-05-25T17:15:49.733	<backspace>
2026-05-25T17:15:49.733	ă
2026-05-25T17:15:49.824	t
2026-05-25T17:15:49.893	s
2026-05-25T17:15:49.894	<backspace>
2026-05-25T17:15:49.894	<backspace>
2026-05-25T17:15:49.895	ắ
2026-05-25T17:15:49.895	t
2026-05-25T17:15:50.056	<space>
2026-05-25T17:15:51.505	u
2026-05-25T17:15:51.697	i
2026-05-25T17:15:51.792	<space>
2026-05-25T17:15:51.944	d
2026-05-25T17:15:52.116	d
2026-05-25T17:15:52.116	<backspace>
2026-05-25T17:15:52.117	đ
2026-05-25T17:15:52.152	i
2026-05-25T17:15:52.280	<space>
2026-05-25T17:15:52.640	m
2026-05-25T17:15:52.873	o
2026-05-25T17:15:52.955	w
2026-05-25T17:15:52.955	<backspace>
2026-05-25T17:15:52.955	ơ
2026-05-25T17:15:53.080	i
2026-05-25T17:15:53.116	s
2026-05-25T17:15:53.117	<backspace>
2026-05-25T17:15:53.117	<backspace>
2026-05-25T17:15:53.117	ớ
2026-05-25T17:15:53.117	i
2026-05-25T17:15:53.224	<space>
2026-05-25T17:15:53.488	m
2026-05-25T17:15:53.713	o
2026-05-25T17:15:53.851	w
2026-05-25T17:15:53.851	<backspace>
2026-05-25T17:15:53.851	ơ
2026-05-25T17:15:54.453	r
2026-05-25T17:15:54.453	<backspace>
2026-05-25T17:15:54.454	ở
2026-05-25T17:15:54.968	<space>
2026-05-25T17:15:55.033	d
2026-05-25T17:15:55.187	d
2026-05-25T17:15:55.187	<backspace>
2026-05-25T17:15:55.187	đ
2026-05-25T17:15:55.352	u
2026-05-25T17:15:55.569	o
2026-05-25T17:15:55.638	w
2026-05-25T17:15:55.638	<backspace>
2026-05-25T17:15:55.639	<backspace>
2026-05-25T17:15:55.639	ư
2026-05-25T17:15:55.640	ơ
2026-05-25T17:15:55.760	c
2026-05-25T17:15:55.887	j
2026-05-25T17:15:55.888	<backspace>
